{'demand': 0.0, 'service_time': 0.0, 'cust_no': 1, 'due_time': 230.0, 'xcoord': 35.0, 'ycoord': 35.0, 'ready_time': 0.0}
{'demand': 10.0, 'service_time': 10.0, 'cust_no': 2, 'due_time': 171.0, 'xcoord': 41.0, 'ycoord': 49.0, 'ready_time': 161.0}
{'demand': 7.0, 'service_time': 10.0, 'cust_no': 3, 'due_time': 60.0, 'xcoord': 35.0, 'ycoord': 17.0, 'ready_time': 50.0}
{'demand': 13.0, 'service_time': 10.0, 'cust_no': 4, 'due_time': 126.0, 'xcoord': 55.0, 'ycoord': 45.0, 'ready_time': 116.0}
{'demand': 19.0, 'service_time': 10.0, 'cust_no': 5, 'due_time': 159.0, 'xcoord': 55.0, 'ycoord': 20.0, 'ready_time': 149.0}
{'demand': 26.0, 'service_time': 10.0, 'cust_no': 6, 'due_time': 44.0, 'xcoord': 15.0, 'ycoord': 30.0, 'ready_time': 34.0}
{'demand': 3.0, 'service_time': 10.0, 'cust_no': 7, 'due_time': 109.0, 'xcoord': 25.0, 'ycoord': 30.0, 'ready_time': 99.0}
{'demand': 5.0, 'service_time': 10.0, 'cust_no': 8, 'due_time': 91.0, 'xcoord': 20.0, 'ycoord': 50.0, 'ready_time': 81.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 9, 'due_time': 105.0, 'xcoord': 10.0, 'ycoord': 43.0, 'ready_time': 95.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 10, 'due_time': 107.0, 'xcoord': 55.0, 'ycoord': 60.0, 'ready_time': 97.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 11, 'due_time': 134.0, 'xcoord': 30.0, 'ycoord': 60.0, 'ready_time': 124.0}
{'demand': 12.0, 'service_time': 10.0, 'cust_no': 12, 'due_time': 77.0, 'xcoord': 20.0, 'ycoord': 65.0, 'ready_time': 67.0}
{'demand': 19.0, 'service_time': 10.0, 'cust_no': 13, 'due_time': 73.0, 'xcoord': 50.0, 'ycoord': 35.0, 'ready_time': 63.0}
{'demand': 23.0, 'service_time': 10.0, 'cust_no': 14, 'due_time': 169.0, 'xcoord': 30.0, 'ycoord': 25.0, 'ready_time': 159.0}
{'demand': 20.0, 'service_time': 10.0, 'cust_no': 15, 'due_time': 43.0, 'xcoord': 15.0, 'ycoord': 10.0, 'ready_time': 32.0}
{'demand': 8.0, 'service_time': 10.0, 'cust_no': 16, 'due_time': 71.0, 'xcoord': 30.0, 'ycoord': 5.0, 'ready_time': 61.0}
{'demand': 19.0, 'service_time': 10.0, 'cust_no': 17, 'due_time': 85.0, 'xcoord': 10.0, 'ycoord': 20.0, 'ready_time': 75.0}
{'demand': 2.0, 'service_time': 10.0, 'cust_no': 18, 'due_time': 167.0, 'xcoord': 5.0, 'ycoord': 30.0, 'ready_time': 157.0}
{'demand': 12.0, 'service_time': 10.0, 'cust_no': 19, 'due_time': 97.0, 'xcoord': 20.0, 'ycoord': 40.0, 'ready_time': 87.0}
{'demand': 17.0, 'service_time': 10.0, 'cust_no': 20, 'due_time': 86.0, 'xcoord': 15.0, 'ycoord': 60.0, 'ready_time': 76.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 21, 'due_time': 136.0, 'xcoord': 45.0, 'ycoord': 65.0, 'ready_time': 126.0}
{'demand': 11.0, 'service_time': 10.0, 'cust_no': 22, 'due_time': 72.0, 'xcoord': 45.0, 'ycoord': 20.0, 'ready_time': 62.0}
{'demand': 18.0, 'service_time': 10.0, 'cust_no': 23, 'due_time': 107.0, 'xcoord': 45.0, 'ycoord': 10.0, 'ready_time': 97.0}
{'demand': 29.0, 'service_time': 10.0, 'cust_no': 24, 'due_time': 78.0, 'xcoord': 55.0, 'ycoord': 5.0, 'ready_time': 68.0}
{'demand': 3.0, 'service_time': 10.0, 'cust_no': 25, 'due_time': 163.0, 'xcoord': 65.0, 'ycoord': 35.0, 'ready_time': 153.0}
{'demand': 6.0, 'service_time': 10.0, 'cust_no': 26, 'due_time': 182.0, 'xcoord': 65.0, 'ycoord': 20.0, 'ready_time': 172.0}
{'demand': 17.0, 'service_time': 10.0, 'cust_no': 27, 'due_time': 142.0, 'xcoord': 45.0, 'ycoord': 30.0, 'ready_time': 132.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 28, 'due_time': 47.0, 'xcoord': 35.0, 'ycoord': 40.0, 'ready_time': 37.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 29, 'due_time': 49.0, 'xcoord': 41.0, 'ycoord': 37.0, 'ready_time': 39.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 30, 'due_time': 73.0, 'xcoord': 64.0, 'ycoord': 42.0, 'ready_time': 63.0}
{'demand': 21.0, 'service_time': 10.0, 'cust_no': 31, 'due_time': 81.0, 'xcoord': 40.0, 'ycoord': 60.0, 'ready_time': 71.0}
{'demand': 27.0, 'service_time': 10.0, 'cust_no': 32, 'due_time': 60.0, 'xcoord': 31.0, 'ycoord': 52.0, 'ready_time': 50.0}
{'demand': 23.0, 'service_time': 10.0, 'cust_no': 33, 'due_time': 151.0, 'xcoord': 35.0, 'ycoord': 69.0, 'ready_time': 141.0}
{'demand': 11.0, 'service_time': 10.0, 'cust_no': 34, 'due_time': 47.0, 'xcoord': 53.0, 'ycoord': 52.0, 'ready_time': 37.0}
{'demand': 14.0, 'service_time': 10.0, 'cust_no': 35, 'due_time': 127.0, 'xcoord': 65.0, 'ycoord': 55.0, 'ready_time': 117.0}
{'demand': 8.0, 'service_time': 10.0, 'cust_no': 36, 'due_time': 153.0, 'xcoord': 63.0, 'ycoord': 65.0, 'ready_time': 143.0}
{'demand': 5.0, 'service_time': 10.0, 'cust_no': 37, 'due_time': 52.0, 'xcoord': 2.0, 'ycoord': 60.0, 'ready_time': 41.0}
{'demand': 8.0, 'service_time': 10.0, 'cust_no': 38, 'due_time': 144.0, 'xcoord': 20.0, 'ycoord': 20.0, 'ready_time': 134.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 39, 'due_time': 93.0, 'xcoord': 5.0, 'ycoord': 5.0, 'ready_time': 83.0}
{'demand': 31.0, 'service_time': 10.0, 'cust_no': 40, 'due_time': 54.0, 'xcoord': 60.0, 'ycoord': 12.0, 'ready_time': 44.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 41, 'due_time': 95.0, 'xcoord': 40.0, 'ycoord': 25.0, 'ready_time': 85.0}
{'demand': 5.0, 'service_time': 10.0, 'cust_no': 42, 'due_time': 107.0, 'xcoord': 42.0, 'ycoord': 7.0, 'ready_time': 97.0}
{'demand': 5.0, 'service_time': 10.0, 'cust_no': 43, 'due_time': 41.0, 'xcoord': 24.0, 'ycoord': 12.0, 'ready_time': 31.0}
{'demand': 7.0, 'service_time': 10.0, 'cust_no': 44, 'due_time': 142.0, 'xcoord': 23.0, 'ycoord': 3.0, 'ready_time': 132.0}
{'demand': 18.0, 'service_time': 10.0, 'cust_no': 45, 'due_time': 79.0, 'xcoord': 11.0, 'ycoord': 14.0, 'ready_time': 69.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 46, 'due_time': 42.0, 'xcoord': 6.0, 'ycoord': 38.0, 'ready_time': 32.0}
{'demand': 1.0, 'service_time': 10.0, 'cust_no': 47, 'due_time': 127.0, 'xcoord': 2.0, 'ycoord': 48.0, 'ready_time': 117.0}
{'demand': 27.0, 'service_time': 10.0, 'cust_no': 48, 'due_time': 61.0, 'xcoord': 8.0, 'ycoord': 56.0, 'ready_time': 51.0}
{'demand': 36.0, 'service_time': 10.0, 'cust_no': 49, 'due_time': 175.0, 'xcoord': 13.0, 'ycoord': 52.0, 'ready_time': 165.0}
{'demand': 30.0, 'service_time': 10.0, 'cust_no': 50, 'due_time': 118.0, 'xcoord': 6.0, 'ycoord': 68.0, 'ready_time': 108.0}
{'demand': 13.0, 'service_time': 10.0, 'cust_no': 51, 'due_time': 134.0, 'xcoord': 47.0, 'ycoord': 47.0, 'ready_time': 124.0}
{'demand': 10.0, 'service_time': 10.0, 'cust_no': 52, 'due_time': 98.0, 'xcoord': 49.0, 'ycoord': 58.0, 'ready_time': 88.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 53, 'due_time': 62.0, 'xcoord': 27.0, 'ycoord': 43.0, 'ready_time': 52.0}
{'demand': 14.0, 'service_time': 10.0, 'cust_no': 54, 'due_time': 105.0, 'xcoord': 37.0, 'ycoord': 31.0, 'ready_time': 95.0}
{'demand': 18.0, 'service_time': 10.0, 'cust_no': 55, 'due_time': 150.0, 'xcoord': 57.0, 'ycoord': 29.0, 'ready_time': 140.0}
{'demand': 2.0, 'service_time': 10.0, 'cust_no': 56, 'due_time': 146.0, 'xcoord': 63.0, 'ycoord': 23.0, 'ready_time': 136.0}
{'demand': 6.0, 'service_time': 10.0, 'cust_no': 57, 'due_time': 140.0, 'xcoord': 53.0, 'ycoord': 12.0, 'ready_time': 130.0}
{'demand': 7.0, 'service_time': 10.0, 'cust_no': 58, 'due_time': 111.0, 'xcoord': 32.0, 'ycoord': 12.0, 'ready_time': 101.0}
{'demand': 18.0, 'service_time': 10.0, 'cust_no': 59, 'due_time': 210.0, 'xcoord': 36.0, 'ycoord': 26.0, 'ready_time': 200.0}
{'demand': 28.0, 'service_time': 10.0, 'cust_no': 60, 'due_time': 28.0, 'xcoord': 21.0, 'ycoord': 24.0, 'ready_time': 18.0}
{'demand': 3.0, 'service_time': 10.0, 'cust_no': 61, 'due_time': 172.0, 'xcoord': 17.0, 'ycoord': 34.0, 'ready_time': 162.0}
{'demand': 13.0, 'service_time': 10.0, 'cust_no': 62, 'due_time': 86.0, 'xcoord': 12.0, 'ycoord': 24.0, 'ready_time': 76.0}
{'demand': 19.0, 'service_time': 10.0, 'cust_no': 63, 'due_time': 68.0, 'xcoord': 24.0, 'ycoord': 58.0, 'ready_time': 58.0}
{'demand': 10.0, 'service_time': 10.0, 'cust_no': 64, 'due_time': 45.0, 'xcoord': 27.0, 'ycoord': 69.0, 'ready_time': 34.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 65, 'due_time': 83.0, 'xcoord': 15.0, 'ycoord': 77.0, 'ready_time': 73.0}
{'demand': 20.0, 'service_time': 10.0, 'cust_no': 66, 'due_time': 61.0, 'xcoord': 62.0, 'ycoord': 77.0, 'ready_time': 51.0}
{'demand': 25.0, 'service_time': 10.0, 'cust_no': 67, 'due_time': 137.0, 'xcoord': 49.0, 'ycoord': 73.0, 'ready_time': 127.0}
{'demand': 25.0, 'service_time': 10.0, 'cust_no': 68, 'due_time': 93.0, 'xcoord': 67.0, 'ycoord': 5.0, 'ready_time': 83.0}
{'demand': 36.0, 'service_time': 10.0, 'cust_no': 69, 'due_time': 152.0, 'xcoord': 56.0, 'ycoord': 39.0, 'ready_time': 142.0}
{'demand': 6.0, 'service_time': 10.0, 'cust_no': 70, 'due_time': 60.0, 'xcoord': 37.0, 'ycoord': 47.0, 'ready_time': 50.0}
{'demand': 5.0, 'service_time': 10.0, 'cust_no': 71, 'due_time': 192.0, 'xcoord': 37.0, 'ycoord': 56.0, 'ready_time': 182.0}
{'demand': 15.0, 'service_time': 10.0, 'cust_no': 72, 'due_time': 87.0, 'xcoord': 57.0, 'ycoord': 68.0, 'ready_time': 77.0}
{'demand': 25.0, 'service_time': 10.0, 'cust_no': 73, 'due_time': 45.0, 'xcoord': 47.0, 'ycoord': 16.0, 'ready_time': 35.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 74, 'due_time': 88.0, 'xcoord': 44.0, 'ycoord': 17.0, 'ready_time': 78.0}
{'demand': 8.0, 'service_time': 10.0, 'cust_no': 75, 'due_time': 159.0, 'xcoord': 46.0, 'ycoord': 13.0, 'ready_time': 149.0}
{'demand': 18.0, 'service_time': 10.0, 'cust_no': 76, 'due_time': 79.0, 'xcoord': 49.0, 'ycoord': 11.0, 'ready_time': 69.0}
{'demand': 13.0, 'service_time': 10.0, 'cust_no': 77, 'due_time': 83.0, 'xcoord': 49.0, 'ycoord': 42.0, 'ready_time': 73.0}
{'demand': 14.0, 'service_time': 10.0, 'cust_no': 78, 'due_time': 189.0, 'xcoord': 53.0, 'ycoord': 43.0, 'ready_time': 179.0}
{'demand': 3.0, 'service_time': 10.0, 'cust_no': 79, 'due_time': 106.0, 'xcoord': 61.0, 'ycoord': 52.0, 'ready_time': 96.0}
{'demand': 23.0, 'service_time': 10.0, 'cust_no': 80, 'due_time': 102.0, 'xcoord': 57.0, 'ycoord': 48.0, 'ready_time': 92.0}
{'demand': 6.0, 'service_time': 10.0, 'cust_no': 81, 'due_time': 192.0, 'xcoord': 56.0, 'ycoord': 37.0, 'ready_time': 182.0}
{'demand': 26.0, 'service_time': 10.0, 'cust_no': 82, 'due_time': 104.0, 'xcoord': 55.0, 'ycoord': 54.0, 'ready_time': 94.0}
{'demand': 16.0, 'service_time': 10.0, 'cust_no': 83, 'due_time': 65.0, 'xcoord': 15.0, 'ycoord': 47.0, 'ready_time': 55.0}
{'demand': 11.0, 'service_time': 10.0, 'cust_no': 84, 'due_time': 54.0, 'xcoord': 14.0, 'ycoord': 37.0, 'ready_time': 44.0}
{'demand': 7.0, 'service_time': 10.0, 'cust_no': 85, 'due_time': 111.0, 'xcoord': 11.0, 'ycoord': 31.0, 'ready_time': 101.0}
{'demand': 41.0, 'service_time': 10.0, 'cust_no': 86, 'due_time': 101.0, 'xcoord': 16.0, 'ycoord': 22.0, 'ready_time': 91.0}
{'demand': 35.0, 'service_time': 10.0, 'cust_no': 87, 'due_time': 104.0, 'xcoord': 4.0, 'ycoord': 18.0, 'ready_time': 94.0}
{'demand': 26.0, 'service_time': 10.0, 'cust_no': 88, 'due_time': 103.0, 'xcoord': 28.0, 'ycoord': 18.0, 'ready_time': 93.0}
{'demand': 9.0, 'service_time': 10.0, 'cust_no': 89, 'due_time': 84.0, 'xcoord': 26.0, 'ycoord': 52.0, 'ready_time': 74.0}
{'demand': 15.0, 'service_time': 10.0, 'cust_no': 90, 'due_time': 186.0, 'xcoord': 26.0, 'ycoord': 35.0, 'ready_time': 176.0}
{'demand': 3.0, 'service_time': 10.0, 'cust_no': 91, 'due_time': 105.0, 'xcoord': 31.0, 'ycoord': 67.0, 'ready_time': 95.0}
{'demand': 1.0, 'service_time': 10.0, 'cust_no': 92, 'due_time': 170.0, 'xcoord': 15.0, 'ycoord': 19.0, 'ready_time': 160.0}
{'demand': 2.0, 'service_time': 10.0, 'cust_no': 93, 'due_time': 29.0, 'xcoord': 22.0, 'ycoord': 22.0, 'ready_time': 18.0}
{'demand': 22.0, 'service_time': 10.0, 'cust_no': 94, 'due_time': 198.0, 'xcoord': 18.0, 'ycoord': 24.0, 'ready_time': 188.0}
